qtr,Apt,Off,Ind,Ret
19941,0.1123,0.0960,0.0961,0.1106
19942,0.1873,0.1203,0.1402,0.1584
19943,-0.0256,-0.0391,-0.0345,-0.0352
19944,-0.0835,-0.0939,-0.0930,-0.1045
19951,0.1376,0.1275,0.1319,0.1356
19952,0.0318,0.0026,0.0091,0.0119
19953,0.0336,0.0274,0.0445,0.0303
19954,0.0211,0.0103,0.0266,0.0052
19961,-0.0211,-0.0243,-0.0185,-0.0291
19962,0.1053,0.0910,0.0930,0.0689
19963,0.0184,0.0217,0.0256,0.0170
19964,0.0623,0.0613,0.0590,0.0504
19971,-0.0002,0.0051,0.0094,-0.0047
19972,0.0478,0.0794,0.0503,0.0326
19973,0.0594,0.0741,0.0719,0.0507
19974,0.0694,0.0786,0.0788,0.0626
19981,0.0867,0.1087,0.1042,0.0852
19982,0.0154,0.0472,0.0202,0.0121
19983,-0.0622,-0.0307,-0.0531,-0.0562
19984,0.0556,0.0753,0.0708,0.0568
19991,0.0248,0.0344,0.0317,0.0231
19992,-0.0044,0.0104,-0.0057,-0.0059
19993,0.0038,0.0058,0.0000,0.0092
19994,0.0538,0.0545,0.0597,0.0558
20001,-0.0127,-0.0074,-0.0075,-0.0092
20002,0.0541,0.0508,0.0465,0.0514
20003,0.0421,0.0473,0.0475,0.0399
20004,-0.0118,-0.0066,-0.0162,-0.0130
20011,-0.0110,-0.0051,-0.0035,-0.0121
20012,0.1188,0.1176,0.1280,0.0985
20013,-0.0041,-0.0036,0.0000,-0.0068
20014,-0.0234,-0.0293,-0.0183,-0.0326
20021,0.0487,0.0399,0.0512,0.0471
20022,0.0136,-0.0042,0.0078,0.0134
20023,0.0646,0.0553,0.0640,0.0668
20024,0.0092,-0.0042,0.0009,0.0181
20031,0.0212,0.0009,0.0092,0.0248
20032,0.0382,0.0157,0.0347,0.0589
20033,0.0084,-0.0019,0.0118,0.0380
20034,0.0317,0.0145,0.0259,0.0516
20041,0.0061,0.0007,0.0075,0.0124
20042,0.0863,0.0778,0.0875,0.1198
20043,0.0282,0.0188,0.0297,0.0362
20044,0.0083,0.0035,0.0165,0.0292
20051,0.0097,0.0121,0.0103,0.0288
20052,0.1755,0.1665,0.1822,0.2198
20053,0.0136,0.0112,0.0088,0.0252
20054,0.0388,0.0300,0.0551,0.1043
20061,0.0771,0.0757,0.0631,0.0543
20062,0.0637,0.0386,0.0295,0.0115
20063,0.0180,0.0244,0.0154,0.0134
20064,0.0844,0.0953,0.1009,0.0793
20071,0.0366,0.0445,0.0565,0.0332
20072,0.0524,0.0579,0.0375,0.0336
20073,-0.0341,-0.0146,-0.0322,-0.0311
20074,0.0091,0.0259,0.0234,0.0033
20081,0.0044,0.0251,0.0168,0.0043
20082,-0.0196,-0.0113,-0.0163,-0.0199
20083,0.0102,0.0080,0.0076,0.0062
20084,-0.1029,-0.1071,-0.1519,-0.1022
20091,-0.0056,-0.0046,0.0029,0.0002
20092,-0.1590,-0.1605,-0.1635,-0.1576
20093,0.0326,0.0229,0.0283,0.0425
20094,-0.0218,-0.0342,-0.0202,-0.0121
20101,0.0477,0.0475,0.0384,0.0567
20102,0.1112,0.0853,0.0888,0.1192
20103,-0.0467,-0.0585,-0.0554,-0.0430
20104,0.1554,0.1237,0.1264,0.1274
20111,0.0377,0.0026,0.0040,-0.0003
20112,0.0200,-0.0029,-0.0129,-0.0096
20113,0.1161,0.1127,0.1120,0.1286
20114,-0.0273,-0.0358,-0.0308,-0.0422
20121,0.0394,0.0296,0.0336,0.0326
20122,0.0091,0.0242,0.0034,0.0096
20123,0.0353,0.0250,0.0407,0.0323
