Date,nareit
12/31/1993,1561.168
3/31/1994,1614.3101
6/30/1994,1644.031
9/30/1994,1610.408
12/30/1994,1610.668
3/31/1995,1607.941
6/30/1995,1702.505
9/29/1995,1782.691
12/29/1995,1856.567
3/29/1996,1898.7939
6/28/1996,1983.2469
9/30/1996,2113.032
12/31/1996,2511.3159
3/31/1997,2528.7971
6/30/1997,2654.5471
9/30/1997,2968.2571
12/31/1997,3020.114
3/31/1998,3006.0171
6/30/1998,2868.179
9/30/1998,2566.3789
12/31/1998,2491.5271
3/31/1999,2371.426
6/30/1999,2610.5271
9/30/1999,2400.604
12/31/1999,2376.4189
3/31/2000,2433.303
6/30/2000,2689.6116
9/29/2000,2895.2727
12/29/2000,3002.9709
3/30/2001,3014.8298
6/29/2001,3346.7822
9/28/2001,3259.0513
12/31/2001,3421.3723
3/29/2002,3703.7859
6/28/2002,3889.4175
9/30/2002,3537.5876
12/31/2002,3552.0957
3/31/2003,3576.0776
6/30/2003,4044.8828
9/30/2003,4429.8501
12/31/2003,4871.1206
3/31/2004,5456.4668
6/30/2004,5139.4849
9/30/2004,5562.3418
12/31/2004,6409.2983
3/31/2005,5957.3872
6/30/2005,6818.1099
9/30/2005,7079.5078
12/30/2005,7188.8398
3/31/2006,8248.5898
6/30/2006,8117.3901
9/29/2006,8869.7402
12/29/2006,9709.3096
3/30/2007,10045.5996
6/29/2007,9137.5596
9/28/2007,9373.7998
12/31/2007,8185.75
3/31/2008,8300.4004
6/30/2008,7891.5
9/30/2008,8329.6797
12/31/2008,5097.46
3/31/2009,3472.97
6/30/2009,4474.9199
9/30/2009,5963.9702
12/31/2009,6524.25
3/31/2010,7177.9102
6/30/2010,6886.77
9/30/2010,7770.1401
12/31/2010,8347.5801
3/31/2011,8973.8203
6/30/2011,9234.3799
9/30/2011,7842.6401
12/30/2011,9039.0703
3/30/2012,9987.3701
6/29/2012,10386.8203
9/28/2012,10493.8799
